Region,Country,State,City,Location,Latitude,Longitude
Europe,Denmark,,Esbjerg,"Denmark, Esbjerg",55.4664892,8.4520751
Europe,Denmark,,Randers,"Denmark, Randers",56.4355428,10.0425957
Europe,Denmark,,Odense,"Denmark, Odense",55.3997225,10.3852104
Europe,Denmark,,Lystrup,"Denmark, Lystrup",56.2363205,10.238378
Europe,Finland,,Finland,"Finland, Finland",63.2467777,25.9209164
Europe,Finland,,Helsinki,"Finland, Helsinki",60.1674881,24.9427473
Europe,Finland,,Espoo,"Finland, Espoo",60.2047672,24.6568435
Europe,Finland,,Vantaa,"Finland, Vantaa",60.2921321,25.0411832
Europe,Finland,,Tampere,"Finland, Tampere",61.4980214,23.7603118
Europe,France,,Paris,"France, Paris",48.8534951,2.3483915
Europe,France,,Télétravail,"France, Télétravail",,
Europe,France,,Lyon,"France, Lyon",45.7578137,4.8320114
Europe,France,,Rouen,"France, Rouen",49.4404591,1.0939658
Europe,France,,Lille,"France, Lille",50.6365654,3.0635282
Europe,France,,Clermont-Ferrand,"France, Clermont-Ferrand",45.7774551,3.0819427
Europe,France,,Antony,"France, Antony",48.753554,2.2959423
Europe,France,,Nantes,"France, Nantes",47.2186371,-1.5541362
Europe,France,,Courbevoie,"France, Courbevoie",48.8953328,2.2561602
Europe,France,,Villeneuve-d'Ascq,"France, Villeneuve-d'Ascq",50.6193174,3.1314002
Europe,France,,Fontenay-sous-Bois,"France, Fontenay-sous-Bois",48.8490721,2.4749347
Europe,France,,Strasbourg,"France, Strasbourg",48.584614,7.7507127
Europe,France,,Châtillon,"France, Châtillon",46.6591772,5.7302769
Europe,France,,Suresnes,"France, Suresnes",48.8709053,2.2255727
Europe,France,,Grenoble,"France, Grenoble",45.1875602,5.7357819
Europe,France,,Bernin,"France, Bernin",45.2693836,5.8664744
Europe,France,,Bezons,"France, Bezons",48.9250016,2.2105491
Europe,France,,Charenton-le-Pont,"France, Charenton-le-Pont",48.8198479,2.4159508
Europe,France,,Marseille,"France, Marseille",43.2961743,5.3699525
Europe,France,,France,"France, France",46.603354,1.8883335
Europe,France,,Saint-Cloud,"France, Saint-Cloud",48.8437412,2.219344
Europe,France,,Issy-les-Moulineaux,"France, Issy-les-Moulineaux",48.8250508,2.273457
Europe,France,,Niort,"France, Niort",46.3241132,-0.4649403
Europe,France,,Caen,"France, Caen",49.1813403,-0.3635615
Europe,France,,Bordeaux,"France, Bordeaux",44.841225,-0.5800364
Europe,France,,Toulouse,"France, Toulouse",43.6044622,1.4442469
Europe,France,,Montrouge,"France, Montrouge",48.8188544,2.3194375
Europe,France,,Clichy,"France, Clichy",48.9026,2.30551
Europe,France,,Meudon,"France, Meudon",48.8126688,2.2385432
Europe,France,,Massy,"France, Massy",49.6902106,1.399492
Europe,France,,Bagneux,"France, Bagneux",49.458056,3.279444
Europe,France,,Aubagne,"France, Aubagne",43.2924385,5.5703031
Europe,France,,Ile-de-France,"France, Ile-de-France",48.6443057,2.7537863
Europe,France,,Puteaux,"France, Puteaux",48.8841522,2.2368863
Europe,France,,Ancenis,"France, Ancenis",47.3648141,-1.1816088
Europe,France,,Orly,"France, Orly",48.7431683,2.402391
Europe,France,,Lezennes,"France, Lezennes",50.6146341,3.1165338
Europe,France,,Gennevilliers,"France, Gennevilliers",48.9254221,2.2940122
Europe,France,,Le Plessis-Robinson,"France, Le Plessis-Robinson",48.7811049,2.2619632
Europe,France,,Asnières-sur-Seine,"France, Asnières-sur-Seine",48.9105948,2.2890454
Europe,France,,La Farlède,"France, La Farlède",43.1597,6.04317
Europe,France,,Roissy-en-France,"France, Roissy-en-France",49.0032865,2.5176985
Europe,France,,La Crèche,"France, La Crèche",46.3624398,-0.2970798
Europe,France,,Boulogne-Billancourt,"France, Boulogne-Billancourt",48.8356649,2.240206
Europe,France,,Saint-Hippolyte-du-Fort,"France, Saint-Hippolyte-du-Fort",43.9643602,3.8564364
Europe,France,,Rueil-Malmaison,"France, Rueil-Malmaison",48.87778,2.1802832
Europe,France,,Cambrai,"France, Cambrai",50.1757546,3.2346145
Europe,France,,La Madeleine,"France, La Madeleine",50.654401,3.0733338
Europe,France,,Rungis,"France, Rungis",48.7484048,2.3472665
Europe,France,,Blagnac,"France, Blagnac",43.6434,1.37799
Europe,France,,Tavaux,"France, Tavaux",47.0371,5.40338
Europe,France,,Croix,"France, Croix",50.6802124,3.1564365
Europe,France,,Cannes,"France, Cannes",43.5515198,7.0134418
Europe,Germany,,Dresden,"Germany, Dresden",51.0493286,13.7381437
Europe,Germany,,Munich,"Germany, Munich",48.1371079,11.5753822
Europe,Germany,,Freiburg im Breisgau,"Germany, Freiburg im Breisgau",47.9960901,7.8494005
Europe,Germany,,Heilbronn,"Germany, Heilbronn",49.142291,9.218655
Europe,Germany,,Offenburg,"Germany, Offenburg",48.4716556,7.944378
Europe,Germany,,Hamburg,"Germany, Hamburg",53.550341,10.000654
Europe,Germany,,Rastede,"Germany, Rastede",53.2467081,8.201904
Europe,Germany,,Köln,"Germany, Köln",50.938361,6.959974
Europe,Germany,,Ingolstadt,"Germany, Ingolstadt",48.7630165,11.4250395
Europe,Germany,,Bonn,"Germany, Bonn",50.735851,7.10066
Europe,Germany,,Karlsruhe,"Germany, Karlsruhe",49.0068705,8.4034195
Europe,Germany,,Tübingen,"Germany, Tübingen",48.5236164,9.0535531
Europe,Germany,,Berlin,"Germany, Berlin",52.5170365,13.3888599
Europe,Germany,,Gütersloh,"Germany, Gütersloh",51.9063997,8.3782078
Europe,Germany,,Schwäbisch Gmünd,"Germany, Schwäbisch Gmünd",48.7999036,9.7977584
Europe,Germany,,North Rhine-Westphalia,"Germany, North Rhine-Westphalia",51.4789205,7.5543751
Europe,Germany,,Essen,"Germany, Essen",51.4582235,7.0158171
Europe,Germany,,Bavaria,"Germany, Bavaria",48.9467562,11.4038717
Europe,Germany,,Düsseldorf,"Germany, Düsseldorf",51.2254018,6.7763137
Europe,Germany,,Kleinostheim,"Germany, Kleinostheim",50.0038042,9.0655061
Europe,Germany,,Heidelberg,"Germany, Heidelberg",49.4093582,8.694724
Europe,Germany,,Kassel,"Germany, Kassel",51.3154546,9.4924096
Europe,Germany,,Bietigheim-Bissingen,"Germany, Bietigheim-Bissingen",48.9502631,9.1383314
Europe,Germany,,Stuttgart,"Germany, Stuttgart",48.7784485,9.1800132
Europe,Germany,,Schorndorf,"Germany, Schorndorf",48.8055169,9.5272665
Europe,Germany,,Fürth,"Germany, Fürth",49.4772475,10.9893626
Europe,Germany,,Germany,"Germany, Germany",51.1638175,10.4478313
Europe,Germany,,Ravensburg,"Germany, Ravensburg",47.7811014,9.612468
Europe,Germany,,Heimarbeit,"Germany, Heimarbeit",49.8953218,9.2354524
Europe,Germany,,Frankfurt am Main,"Germany, Frankfurt am Main",50.1106444,8.6820917
Europe,Germany,,Darmstadt,"Germany, Darmstadt",49.8851869,8.6736295
Europe,Germany,,Sternenfels,"Germany, Sternenfels",49.0499637,8.8510968
Europe,Germany,,Halle (Saale),"Germany, Halle (Saale)",51.4825041,11.9705452
Europe,Germany,,Ulm,"Germany, Ulm",48.3974003,9.9934336
Europe,Germany,,Görlitz,"Germany, Görlitz",51.1563185,14.991018
Europe,Germany,,Oberkochen,"Germany, Oberkochen",48.7855073,10.1106691
Europe,Germany,,Erlangen,"Germany, Erlangen",49.5928616,11.0056
Europe,Germany,,Ostenfeld (Husum),"Germany, Ostenfeld (Husum)",54.4635898,9.2327511
Europe,Germany,,Gummersbach,"Germany, Gummersbach",51.0277658,7.5630545
Europe,Germany,,Duisburg,"Germany, Duisburg",51.434999,6.759562
Europe,Germany,,Leipzig,"Germany, Leipzig",51.3406321,12.3747329
Europe,Germany,,Overath,"Germany, Overath",50.9320015,7.2839042
Europe,Germany,,Wolfsburg,"Germany, Wolfsburg",52.4205588,10.7861682
Europe,Germany,,Ottobrunn,"Germany, Ottobrunn",48.0643823,11.6675042
Europe,Germany,,Mülheim an der Ruhr,"Germany, Mülheim an der Ruhr",51.4272925,6.8829192
Europe,Germany,,Chemnitz,"Germany, Chemnitz",50.8322608,12.9252977
Europe,Germany,,Rostock,"Germany, Rostock",54.0924445,12.1286127
Europe,Germany,,Osnabrück,"Germany, Osnabrück",52.2719595,8.047635
Europe,Germany,,Hannover,"Germany, Hannover",52.3744779,9.7385532
Europe,Germany,,Potsdam,"Germany, Potsdam",52.4009309,13.0591397
Europe,Germany,,Dortmund,"Germany, Dortmund",51.5142273,7.4652789
Europe,Germany,,Eching,"Germany, Eching",48.3,11.6167
Europe,Germany,,Oldenburg (Oldenburg),"Germany, Oldenburg (Oldenburg)",53.1389753,8.2146017
Europe,Germany,,Magdeburg,"Germany, Magdeburg",52.1315889,11.6399609
Europe,Germany,,Braunschweig,"Germany, Braunschweig",52.2646577,10.5236066
Europe,Germany,,Mannheim,"Germany, Mannheim",49.4892913,8.4673098
Europe,Germany,,Plauen,"Germany, Plauen",50.4950632,12.1346523
Europe,Germany,,Bochum,"Germany, Bochum",51.4818111,7.2196635
Europe,Germany,,Kempten (Allgäu),"Germany, Kempten (Allgäu)",47.7267063,10.3168835
Europe,Germany,,Aalen,"Germany, Aalen",48.8362705,10.0931765
Europe,Germany,,Villingen-Schwenningen,"Germany, Villingen-Schwenningen",48.0632359,8.4945022
Europe,Germany,,Erfurt,"Germany, Erfurt",50.9777974,11.0287364
Europe,Germany,,Nuremberg,"Germany, Nuremberg",49.453872,11.077298
Europe,Greece,,Xánthi,"Greece, Xánthi",41.1380289,24.8862688
Europe,Greece,,Heraklion Airport Terminal,"Greece, Heraklion Airport Terminal",35.34146,25.171464
Europe,Greece,,Patras,"Greece, Patras",38.246242,21.7350847
Europe,Greece,,Thessaloníki,"Greece, Thessaloníki",40.6403167,22.9352716
Europe,Greece,,Athens,"Greece, Athens",37.9839412,23.7283052
Europe,Greece,,Cyprus,"Greece, Cyprus",40.9823313,24.7013451
Europe,Greece,,Greece,"Greece, Greece",38.9953683,21.9877132
Europe,Greece,,Corinth,"Greece, Corinth",37.9385413,22.9273768
Asia,Hong Kong,,Hong Kong,"Hong Kong, Hong Kong",22.2793278,114.1628131
Asia,Hong Kong,,Central,"Hong Kong, Central",22.2850394,114.1583819
Asia,Hong Kong,,Kwun Tong,"Hong Kong, Kwun Tong",22.312937,114.22561
Asia,Hong Kong,,Kowloon City,"Hong Kong, Kowloon City",22.3301595,114.1899368
Asia,Hong Kong,,Hung Hom,"Hong Kong, Hung Hom",22.3031874,114.1820106
Asia,Hong Kong,,Quarry Bay,"Hong Kong, Quarry Bay",22.2877545,114.2149322
Asia,Hong Kong,,Kowloon Bay,"Hong Kong, Kowloon Bay",22.3231377,114.21412352083236
Asia,Hong Kong,,Sha Tin,"Hong Kong, Sha Tin",22.3815527,114.1904697
Asia,Hong Kong,,San Po Kong,"Hong Kong, San Po Kong",22.336665,114.1984071
Asia,Hong Kong,,Causeway Bay,"Hong Kong, Causeway Bay",22.2820777,114.1891587
Asia,Hong Kong,,Hong Kong Island,"Hong Kong, Hong Kong Island",22.2850394,114.1583819
Europe,Hungary,,Budapest,"Hungary, Budapest",47.48138955,19.14609412691246
Europe,Hungary,,Debrecen,"Hungary, Debrecen",47.531399,21.6259782
Europe,Hungary,,Hungary,"Hungary, Hungary",47.1817585,19.5060937
Europe,Hungary,,Biatorbágy,"Hungary, Biatorbágy",47.4739442,18.8232855
Europe,Hungary,,Pécs,"Hungary, Pécs",46.0765092,18.2280317
Europe,Hungary,,Miskolc,"Hungary, Miskolc",48.1030643,20.7900429
Europe,Ireland,,Dublin,"Ireland, Dublin",53.3498006,-6.2602964
Europe,Ireland,,Letterkenny,"Ireland, Letterkenny",54.9517933,-7.7354381
Europe,Ireland,,Waterford,"Ireland, Waterford",52.2609997,-7.1119081
Europe,Ireland,,Limerick,"Ireland, Limerick",52.661252,-8.6301239
Europe,Ireland,,Cork,"Ireland, Cork",51.897077,-8.4654674
Europe,Ireland,,Galway,"Ireland, Galway",53.2744122,-9.0490601
Europe,Ireland,,Louth,"Ireland, Louth",53.90628485,-6.532050201271116
Europe,Ireland,,Saint Margaret's,"Ireland, Saint Margaret's",53.4320032,-6.303592547688023
Europe,Ireland,,Kildare,"Ireland, Kildare",53.15436455,-6.8184175660976445
Europe,Israel,,Tel Aviv-Yafo,"Israel, Tel Aviv-Yafo",32.0852997,34.7818064
Europe,Israel,,Hod HaSharon,"Israel, Hod HaSharon",32.1561974,34.8930354
Europe,Israel,,Herzliya,"Israel, Herzliya",32.1676842,34.83082794429146
Europe,Israel,,Israel,"Israel, Israel",30.8124247,34.8594762
Europe,Israel,,Yehud,"Israel, Yehud",32.0340632,34.8939595
Europe,Israel,,Ramat Gan,"Israel, Ramat Gan",32.0686867,34.8246812
Europe,Israel,,Jerusalem,"Israel, Jerusalem",31.7788242,35.2257626
Europe,Israel,,Petah Tikva,"Israel, Petah Tikva",32.0877639,34.8859985
Europe,Israel,,Tel Aviv,"Israel, Tel Aviv",32.0852997,34.7818064
Europe,Israel,,Southern,"Israel, Southern",14.4789419,121.0285554
Europe,Israel,,Raanana,"Israel, Raanana",32.1861481,34.8675905
Europe,Italy,,Pero,"Italy, Pero",45.5101617,9.0894415
Europe,Italy,,Italy,"Italy, Italy",42.6384261,12.674297
Europe,Italy,,Como,"Italy, Como",45.939475900000005,9.149410145408948
Europe,Italy,,Bergamo,"Italy, Bergamo",45.7566557,9.754219200862249
Europe,Italy,,Roma,"Italy, Roma",41.8933203,12.4829321
Europe,Italy,,Bologna,"Italy, Bologna",44.4938203,11.3426327
Europe,Italy,,Telelavoro,"Italy, Telelavoro",,
Europe,Italy,,Lombardy,"Italy, Lombardy",45.5703694,9.7732524
Europe,Italy,,Agrate Brianza,"Italy, Agrate Brianza",45.5761735,9.3509475
Europe,Italy,,Turin,"Italy, Turin",45.0677551,7.6824892
Europe,Italy,,Parma,"Italy, Parma",44.8013678,10.3280833
Europe,Italy,,Arzignano,"Italy, Arzignano",45.519292,11.338594
Europe,Italy,,Napoli,"Italy, Napoli",40.8358846,14.2487679
Europe,Italy,,San Donato Milanese,"Italy, San Donato Milanese",45.41807,9.27165
Europe,Italy,,Casalecchio di Reno,"Italy, Casalecchio di Reno",44.4760177,11.2756857
Europe,Italy,,Brugine,"Italy, Brugine",45.296592,11.995113
Europe,Italy,,Sgonico,"Italy, Sgonico",45.7360238,13.7482449
Europe,Italy,,Catania,"Italy, Catania",37.5023612,15.0873718
Europe,Italy,,Verona,"Italy, Verona",45.4384958,10.9924122
Europe,Italy,,Piedmont,"Italy, Piedmont",45.060735,7.923549
Europe,Italy,,Frosinone,"Italy, Frosinone",41.6285468,13.57584977062367
Europe,Italy,,Assago,"Italy, Assago",45.4053966,9.1313547
Europe,Italy,,Rozzano,"Italy, Rozzano",45.3832366,9.1541309
Europe,Italy,,Bari,"Italy, Bari",41.1257843,16.8620293
Europe,Italy,,Padova,"Italy, Padova",45.4077172,11.8734455
Europe,Italy,,Arcole,"Italy, Arcole",45.3582108,11.2860916
Europe,Italy,,Porto San Giorgio,"Italy, Porto San Giorgio",43.1826562,13.7933863
Europe,Luxembourg,,Luxembourg,"Luxembourg, Luxembourg",49.6112768,6.129799
Europe,Luxembourg,,Kayl,"Luxembourg, Kayl",49.4861302,6.041472
Europe,Luxembourg,,Esch-sur-Alzette,"Luxembourg, Esch-sur-Alzette",49.4959628,5.9850306
Europe,Luxembourg,,Bertrange,"Luxembourg, Bertrange",49.6106029,6.0501598
Europe,Luxembourg,,Hesperange,"Luxembourg, Hesperange",49.5729552,6.1615727
Europe,Luxembourg,,Capellen,"Luxembourg, Capellen",49.64243535,5.980589336785849
Europe,Luxembourg,,Kehlen,"Luxembourg, Kehlen",49.6675477,6.0357089
Europe,Luxembourg,,Dudelange,"Luxembourg, Dudelange",49.4786477,6.0847792
Europe,Luxembourg,,Senningerberg,"Luxembourg, Senningerberg",49.649554,6.2262751
Europe,Luxembourg,,Niederanven,"Luxembourg, Niederanven",49.6512224,6.2552342
Europe,Netherlands,,Leusden,"Netherlands, Leusden",52.1187668,5.417118899734083
Europe,Netherlands,,Eindhoven,"Netherlands, Eindhoven",51.4392648,5.478633
Europe,Netherlands,,Amsterdam,"Netherlands, Amsterdam",52.3730796,4.8924534
Europe,Netherlands,,Arnhem,"Netherlands, Arnhem",51.984257,5.9108573
Europe,Netherlands,,Vianen,"Netherlands, Vianen",51.9890128,5.0937164
Europe,Netherlands,,Utrecht,"Netherlands, Utrecht",52.080985600000005,5.12768396945229
Europe,Netherlands,,Almere,"Netherlands, Almere",52.3705038,5.2185859
Europe,Netherlands,,Den Bosch,"Netherlands, Den Bosch",51.6889387,5.303116
Europe,Netherlands,,Veldhoven,"Netherlands, Veldhoven",51.4190691,5.4045572
Europe,Netherlands,,Alkmaar,"Netherlands, Alkmaar",52.6008538,4.817099446443963
Europe,Netherlands,,Apeldoorn,"Netherlands, Apeldoorn",52.17957375,5.930077460807249
Europe,Netherlands,,The Hague,"Netherlands, The Hague",52.0799838,4.3113461
Europe,Netherlands,,Gouda,"Netherlands, Gouda",52.018119350000006,4.711122134697802
Europe,Netherlands,,Raamsdonksveer,"Netherlands, Raamsdonksveer",51.6961345,4.8745894
Europe,Netherlands,,Hoofddorp,"Netherlands, Hoofddorp",52.305554,4.6926644
Europe,Netherlands,,Roermond,"Netherlands, Roermond",51.1933903,5.9882649
Europe,Netherlands,,Rotterdam,"Netherlands, Rotterdam",51.9244424,4.47775
Europe,Netherlands,,Zeist,"Netherlands, Zeist",52.086531750000006,5.249007957671885
Oceania,New Zealand,,Auckland,"New Zealand, Auckland",-36.852095,174.7631803
Oceania,New Zealand,,Wellington,"New Zealand, Wellington",-41.2887953,174.7772114
Oceania,New Zealand,,Christchurch,"New Zealand, Christchurch",-43.530955,172.6366455
Oceania,New Zealand,,New Zealand,"New Zealand, New Zealand",-41.5000831,172.8344077
Oceania,New Zealand,,Berlins,"New Zealand, Berlins",-41.8584766,171.8389025
Oceania,New Zealand,,ONEHUNGA,"New Zealand, ONEHUNGA",-36.9237924,174.7857738
Oceania,New Zealand,,Milton,"New Zealand, Milton",-46.1167784,169.9624539
Europe,Norway,,Norway,"Norway, Norway",61.1529386,8.7876653
Europe,Norway,,Oslo,"Norway, Oslo",59.9133301,10.7389701
Europe,Norway,,Kristiansand,"Norway, Kristiansand",58.0856276,7.93185802875815
Europe,Norway,,Hamar,"Norway, Hamar",61.0014937,11.16479641006573
Europe,Norway,,Lysaker,"Norway, Lysaker",59.9130129,10.6365628
Europe,Norway,,Stavanger,"Norway, Stavanger",58.9699675,5.7318101
Europe,Norway,,Bergen,"Norway, Bergen",60.3943055,5.3259192
Europe,Norway,,Fornebu,"Norway, Fornebu",59.8995111,10.6286917
Europe,Poland,,Poland,"Poland, Poland",52.215933,19.134422
Europe,Poland,,Kraków,"Poland, Kraków",50.0619474,19.9368564
Europe,Poland,,Poznań,"Poland, Poznań",52.4006632,16.91973259178088
Europe,Poland,,Łódź,"Poland, Łódź",51.7687323,19.4569911
Europe,Poland,,Gliwice,"Poland, Gliwice",50.294113,18.6657306
Europe,Poland,,Wrocław,"Poland, Wrocław",51.1089776,17.0326689
Europe,Poland,,Katowice,"Poland, Katowice",50.2598987,19.0215852
Europe,Poland,,Gdańsk,"Poland, Gdańsk",54.3706858,18.61298210330077
Europe,Poland,,Mirków,"Poland, Mirków",51.1662782,17.1588597
Europe,Poland,,Gdynia,"Poland, Gdynia",54.5164982,18.5402738
Europe,Poland,,Sopot,"Poland, Sopot",54.4430399,18.56130952013076
Europe,Portugal,,Home office,"Portugal, Home office",,
Europe,Portugal,,Portugal,"Portugal, Portugal",39.6621648,-8.1353519
Europe,Portugal,,Porto,"Portugal, Porto",41.1494512,-8.6107884
Europe,Portugal,,Amadora,"Portugal, Amadora",38.7595162,-9.223677009460124
Europe,Portugal,,Coimbra,"Portugal, Coimbra",40.2111931,-8.4294632
Europe,Portugal,,Ovar,"Portugal, Ovar",40.8456684,-8.64847761987809
