,Job_details,Job_details,Job_details,Job_details,Job_details,Job_details,Job_details,Salary,Salary,Salary,Salary,Salary,Salary,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Company_info,Education,Education,Education,Education,Version_control,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,Cloud_platforms,RDBMS,RDBMS,RDBMS,RDBMS,RDBMS,NOSQL,NOSQL,NOSQL,NOSQL,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Search_&_Analytics,Data_integration_and_processing,Data_integration_and_processing,Data_integration_and_processing,Stream_processing_tools,Stream_processing_tools,Stream_processing_tools,Workflow_orchestration_tools,Workflow_orchestration_tools,Workflow_orchestration_tools,Big_Data_processing,Big_Data_processing,Big_Data_processing,OS,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Programming_languages,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools,Business_Intelligence_Tools
9,DATA ENGINEER,"STAND 8 is a global leader providing end-to-end IT Solutions. We solve business problems through PEOPLE, PROCESS, and TECHNOLOGY and are looking for individuals to help us scale software projects designed to change the world!
We are hiring for a Data Engineer for a cutting edge media entertainment company. You'll be joining a passionate team of data scientists and Python developers to build and implement solutions and utilize the best practices to keep us ahead of the industry.
Highly motivated, inquisitive, willing to learn, and interested by the technology + subject matter (sports media).
Build, test, and deploy cloud-native solutions used by our Enterprise Customer, supporting billions of calls per month with hundreds of millions of TV viewers.
Work on an empowered cross functional team with Product, Engineering, Design and DevOps to deliver on your team’s core mission.


The US base salary range for this contract position is $50-$60/hour. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training",,Los Angeles, CA,3,False,104000.0,124800.0,114400.0,$,True,True,STAND 8,4.4,1 to 50,Company - Private,,,,Less than $1 million,1.0,,4.0,4.1,4.7,4.4,4.7,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Big Data Engineer,"Big Data Engineer – (Spark , Scala and Hadoop)
Location : Alpharetta, GA (Day1 onsite but hybrid )
Long Term Contract
Job Description:
Understand the enterprise architecture within the context of existing platforms services and strategic direction.
Digest broader enterprise, horizontal view across all technical disciplines to evaluate interoperability and incorporate it in solution architecture
Implement end-to-end solutions with sound technical architecture, in Big Data analytics framework along with customized solutions that are scalable, with primary focus on performance, quality, maintainability, cost and testability.",,Alpharetta, GA,31,True,145600.0,156000.0,150800.0,$,True,True,Apptrics LLC,5.0,,Company - Public,Information Technology,Information Technology Support Services,,,1.0,,5.0,5.0,5.0,5.0,5.0,"['""Culture is supportive and friendly here."" (in 1 reviews)', '""Continuously they have given training for me to improve my skills."" (in 1 reviews)', '""Management has given enough time for me to understand the things."" (in 1 reviews)', '""Management strictly follows work life balance and never ever asks work after office hours or weekends."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Sr. Data Engineer,"Role: Sr. Data Engineer
Location: New Jersey
Duration: 12+ Months
Positions: 2
Exp:10+ yrs
Skill-set:
New req for Data Emgg Gr
Note: who has recent java experience with some big data experience.
1- Java + Data Engineer - Flink
1- Tech lead with Data Engg skills same as what we have.",Senior,Lorain, OH,19,True,135200.0,145600.0,140400.0,$,True,True,kairos technologies,4.5,51 to 200,Company - Private,Information Technology,Information Technology Support Services,20.0,$5 to $25 million,0.97,1.0,4.2,4.1,4.3,4.2,4.2,"['""Flexible working hours, good atmosphere"" (in 5 reviews)', '""Good team and Management to work with"" (in 2 reviews)']","['""I felt initially that everyone are so occupied in doing their own tasks but I should have been more proactive and communicative"" (in 2 reviews)']",,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Data Engineer - Flink,"The successful candidate in this role will have:
Experience building and maintaining enterprise-scale (Terabyte - Exabyte) data pipelines.
Experience using modern open-source technologies and cloud services (SNS, SQS, MSK, ECS, EC2, DynamoDB, Kinesis, EMR, Kafka, Flink, Spark)
Experience with modern compression technologies (Orc, Spark)
Experience working with customers to model and onboard datasets to fit customer requirements.
Experience developing data pipeline parsers using Scala.
To follow up with any questions, please contact Ajitabh at # 408-907-2956",,Austin, TX,13,True,149760.0,166400.0,158080.0,$,True,True,Amazon,3.8,10000+,Company - Public,Information Technology,Internet & Web Services,29.0,$10+ billion,0.73,0.78,3.9,3.9,3.5,3.4,3.7,"['""good work life balance and nicely paid"" (in 3126 reviews)', '""Pay is good but not worth the asks made from IT and how they are treated"" (in 3391 reviews)', '""The culture is good and there\'s a lot of smart people willing to help you grow"" (in 3047 reviews)', '""My team was great and I was really lucky to be placed on this team."" (in 2751 reviews)', '""Their health benefits is good and their career choice is helpful to start a new career."" (in 1286 reviews)']","['""No work life balance and sometime you can feel the pressure and stress to meet immediate requirements with less time."" (in 3126 reviews)', '""Pay is low could be improved"" (in 3391 reviews)', '""Politics and bad culture"" (in 3047 reviews)', '""depending on team your work"" (in 2751 reviews)', '""No benefits for interns and yes"" (in 1286 reviews)']",4.0,"['Health Insurance (1593 comments)\n""Quality health insurance benefits provided""', 'Employee Discount (1426 comments)\n""Offered accords few businesses but capped annuall y""', 'Vacation & Paid Time Off (1177 comments)\n""Good paid time off accrual""']",False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Data Engineer,"Direct client is forward thinking, growth-oriented healthcare services and technology company that provides state of the art pharmacy solutions looking for a Data Engineer to fill in immediately
Must Have:
Matillion ETL tool
Snowflake
Python
Any ETL tool",,Remote,Remote,31,True,135200.0,135200.0,135200.0,$,True,True,Astratrek,,,Company - Public,,,,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Data Engineer,"Data Engineer
Baltimore, MD
6+ Months
Responsibilities:
Collaborate with Solution & Enterprise Architects, Business analysts, DBAs and others to understand business requirements.
Provide suggestions and guidance to different MI/BI projects, based on best practices, optimal solutions, and project standards will be expected.",,Baltimore, MD,10,True,105040.0,156000.0,130520.0,$,True,True,ServIT Consulting LLC,,,,,,,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Jr. Data Engineer,"Meet Zartico, the world’s first Destination Operating System.
Zartico’s mission is to empower DMOs to be better stewards of the world’s tourist destinations through improved data intelligence and decision-making. Makers of the first Destination Operating System, Zartico harnesses and streamlines complex data to provide a full spectrum of data science, benchmarking, and analytical services for use in marketing, community development, and sustainability efforts. Based in Salt Lake City, Utah, Zartico has over thirty years of experience in technology, tourism, and destination, travel and tourism marketing.
Zartico is looking to add a Junior Data Engineer to the team. In this role, Primary Responsibilities include but are not limited to the following:
Be part of Data Engineering Team to develop data infrastructure that is able to ingest and transform data at scale coming from many different sources, different customers, and in many different varieties. You will build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources and build robust data pipelines that collect, process and compute business metrics from activity data. You will be responsible for creating critical datasets for machine learning, growth funnels, business forecasting, and many other strategic initiatives.",Junior,Salt Lake City, UT,31,False,66000.0,101000.0,83500.0,$,False,False,Zartico,4.5,51 to 200,Company - Private,Information Technology,Enterprise Software & Network Solutions,4.0,,0.86,,4.4,4.1,4.5,4.0,4.8,"['""The best culture I have been in in a long time"" (in 4 reviews)', '""Great ceo and leadership."" (in 2 reviews)']","['""Sometimes remote work has its cons when I\'m not able to see my coworkers in person on a daily basis."" (in 3 reviews)', '""The operating system is incredible"" (in 1 reviews)']",,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Sr. Data Engineer,"Sr. Data Engineer - Alpharetta GA
Location: Must be local to Atlanta Metropolitan area, will not consider relocations at this time.
Hybrid Remote, a few days in office in Alpharetta, GA.
Contract Length: 6-12 month contract to full time.
Summary
Our Direct Client, a Global top Payroll technology company, is looking for a Senior Data Engineer. You will design, build and operationalize large scale enterprise data solutions and applications using one or more of AWS data and analytics services in combination with 3rd parties - Spark, EMR, RedShift, Lambda, Glue Design and build production data pipelines from ingestion to consumption within a big data architecture, using Java, and Python. You will also design and implement data engineering, ingestion, and curation functions on AWS cloud using AWS native or custom programming.",Senior,Alpharetta, GA,31,True,145600.0,174720.0,160160.0,$,True,True,AGM Tech Solutions,4.8,51 to 200,Company - Private,Human Resources & Staffing,HR Consulting,5.0,$5 to $25 million,1.0,1.0,4.8,4.7,4.9,4.9,5.0,"['""AGM Tech is a great Workplace to work and provides best support to the team always."" (in 14 reviews)', '""Better communication to employees"" (in 5 reviews)', '""Great management"" (in 4 reviews)', '""Awesome leadership from CEO Mirtes"" (in 3 reviews)', '""This not only benefits their clients, but was helpful to me when I collaborated with other AGM team members."" (in 2 reviews)']","['""Sometimes there is not much communication."" (in 5 reviews)']",,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Data Engineer,"At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way.
When you join Team Amex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day. Here, you’ll learn and grow as we champion your meaningful career journey with programs, benefits, and flexibility to back you personally and professionally. Every colleague shares in the company’s success.
Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to our customers, communities, and each other every day. And, we’ll do it with integrity and in an environment where everyone is seen, heard and feels like they truly belong.",,New York, NY,3,False,70000.0,135000.0,102500.0,$,True,False,Amex,4.2,10000+,Company - Public,Financial Services,Financial Transaction Processing,173.0,$10+ billion,0.85,0.91,4.0,4.0,3.9,4.1,4.3,"['""Flexibility and commitment to a good work/life balance"" (in 250 reviews)', '""Good pay and lots of space to learn and grow."" (in 187 reviews)', '""Culture is good"" (in 179 reviews)', '""Good benefits, including 5 months paid parental leave"" (in 100 reviews)', '""Great People and teams"" (in 128 reviews)']","['""no work life balance in the job"" (in 250 reviews)', '""Low pay and not much else"" (in 187 reviews)', '""Perhaps the culture has changed since I was last there, but it was like working for a different and much worse company over there."" (in 179 reviews)', '""job related activities with very little or no clear benefits"" (in 100 reviews)', '""Too few highly competent people"" (in 128 reviews)']",4.2,"['401K Plan (309 comments)\n""6% company match that is standard""', 'Vacation & Paid Time Off (234 comments)\n""192 hours of PTO and you submit the request yourself in the portal""', 'Health Insurance (196 comments)\n""Great coverage with low cost""']",False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Data Engineer,"Do you love researching data and applying your findings to create the best data structures for data analytics? Do you enjoy digging into all the details as you work through a data set and identifying patterns and relationships? If so, this job may be a fit for you! Keep reading and watch our video below to see why WCF was voted one of the best places to work again!
Position
The IT department has an immediate opening for someone who can demonstrate the WCF values to join their team as Data Engineer. This is a full-time, exempt position based out of WCF's Sandy, Utah headquarters. This position is open to internal and external candidates. This position is available or hybrid remote/in office work.",,Sandy, UT,1,True,77000.0,111000.0,94000.0,$,False,False,WCF Insurance,3.9,501 to 1000,Self-employed,Insurance,Insurance Carriers,106.0,,0.81,1.0,3.5,3.6,3.7,4.0,3.7,"['""Great work life balance and friendly management"" (in 1 reviews)']","['""Below average pay for position"" (in 1 reviews)', '""Software Department is relatively small"" (in 1 reviews)']",4.0,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Data Engineer,"Position: Kafka Data Engineer
Location – Remote
Duration: Fulltime
Job Description:
NOTE - Spark, Databricks, Batch/stream processing, AWS cloud as primary skill for this landmark positions and have snowflake, kafka as options
· Profiles should be able to handle below.
· how they optimize spark platform",,Remote,Remote,1,True,122000.0,133000.0,127500.0,$,True,False,TekisHub Consulting Services,4.1,1001 to 5000,Company - Private,Information Technology,Information Technology Support Services,15.0,$100 to $500 million,0.72,0.74,4.0,3.9,3.9,4.0,3.8,"['""No pros, worst company never seen, no salary on time"" (in 5 reviews)', '""Work culture is good."" (in 1 reviews)', '""good hr team to negotate the ssues."" (in 1 reviews)']","['""No salary on time"" (in 5 reviews)']",,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Big Data Engineer,"Title: Big Data Engineer
Location: Irving TX (Hybrid)
Experience : 10 +
Duration: Long Term
Responsibilities:
Design application code, implement technical solutions, and configure applications in various environments in response to business problems in close collaboration with Architects, Business Analysts and Change Partners.
Manage Hadoop, NoSQL, and/or MPP infrastructure supporting data.",,Irving, TX,31,True,124800.0,135200.0,130000.0,$,True,True,Amazee Global Ventures Inc,5.0,1 to 50,Company - Public,,,4.0,Less than $1 million,1.0,,5.0,4.0,5.0,3.0,4.0,"['""Great Environment to work for, better opportunities"" (in 1 reviews)']","['""Time based, very strict about what one is posting"" (in 1 reviews)']",,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
